"第1周" "第2周" "第3周" "第4周" "第5周" "第6周" "第7周" "第8周" "第9周"
"P.16.7" 4 5 7 8 11 26 97 NA NA
"P.16.8" 5 6 7 11 15 55 152 NA NA
"P.16.9" 4 5 6 7 11 11 16 NA NA
"P.16.10" 5 6 7 8 23 79 103 NA NA
"P.17.1" 5 6 7 8 9 9 9 NA NA
"P.17.2" 4 5 6 7 8 8 34 NA NA
"P.17.3" 6 6 6 9 9 9 9 NA NA
"P.17.4" 6 7 7 8 8 8 8 NA NA
"P.17.5" 6 7 7 7 7 7 8 NA NA
"P.17.6" 5 7 8 8 9 9 9 NA NA
"P.17.7" 5 6 6 7 7 7 7 NA NA
"P.17.8" 5 6 6 7 7 7 7 NA NA
"P.17.9" 4 7 8 9 9 10 10 NA NA
"P.17.10" 6 7 8 9 9 9 9 NA NA
"P.18.1" 5 7 8 9 9 9 9 NA NA
"P.18.2" 4 5 6 7 8 8 34 NA NA
"P.18.3" 6 6 6 9 9 9 9 NA NA
"P.18.4" 6 7 7 8 8 8 8 NA NA
"P.18.5" 6 7 7 7 7 8 8 NA NA
"P.18.6" 5 7 8 8 9 9 9 NA NA
"P.18.7" 5 6 6 7 7 7 7 NA NA
"P.18.8" 4 6 6 7 7 7 7 NA NA
"P.18.9" 4 7 8 9 9 10 10 NA NA
"P.18.10" 6 7 8 9 9 9 9 NA NA
"P.19.1" 6 8 9 10 61 74 75 NA NA
"P.19.2" 6 8 11 11 66 92 91 NA NA
"P.19.3" 6 8 8 10 57 104 112 NA NA
"P.19.4" 6 7 8 8 19 69 114 NA NA
"P.19.5" 7 8 10 11 76 79 78 NA NA
"P.19.6" 7 8 9 9 11 26 68 NA NA
"P.19.7" 8 8 8 8 11 12 36 NA NA
"P.19.8" 8 8 8 7 8 15 45 NA NA
"P.19.9" 8 10 11 30 110 123 123 NA NA
"P.19.10" 6 7 7 10 11 22 66 NA NA
"P.20.1" 8 9 10 61 135 166 166 NA NA
"P.20.2" 5 7 8 9 62 99 99 NA NA
"P.20.3" 4 5 6 9 44 74 79 NA NA
"P.20.4" 7 8 9 52 142 178 178 NA NA
"P.20.5" 5 6 7 7 44 61 65 NA NA
"P.20.6" 5 7 7 7 26 38 37 NA NA
"P.20.7" 6 7 8 8 9 24 46 NA NA
"P.20.8" 7 7 8 17 70 100 101 NA NA
"P.20.9" 7 8 9 9 76 113 145 NA NA
"P.20.10" 7 7 8 9 74 113 121 NA NA
"P.23.1" 5 6 6 7 8 12 14 NA NA
"P.23.2" 7 7 8 11 42 96 115 NA NA
"P.23.3" 4 6 7 9 27 66 83 NA NA
"P.23.4" 6 7 7 8 9 15 16 NA NA
"P.23.5" 4 5 6 7 8 9 9 NA NA
"P.23.6" 7 7 7 8 45 94 100 NA NA
"P.23.7" 6 7 7 8 41 79 90 NA NA
"P.23.8" 6 7 7 7 8 9 36 NA NA
"P.23.9" 7 7 8 9 10 15 16 NA NA
"P.23.10" 9 10 11 13 20 29 32 NA NA
"P.24.1" 3 5 6 7 8 9 18 NA NA
"P.24.2" 5 6 6 9 10 18 28 NA NA
"P.24.3" 7 8 9 9 10 20 19 NA NA
"P.24.4" 5 7 8 11 12 30 27 NA NA
"P.24.5" 5 6 7 10 10 25 31 NA NA
"P.24.6" 4 6 6 6 8 25 26 NA NA
"P.24.7" 5 6 7 7 10 40 42 NA NA
"P.24.8" 6 7 8 8 9 14 26 NA NA
"P.24.9" 4 6 7 8 9 9 10 NA NA
"P.24.10" 5 6 8 9 10 25 25 NA NA
"P.31.1" 5 6 7 8 9 14 50 NA NA
"P.31.2" 5 6 7 7 8 8 29 NA NA
"P.31.3" 3 7 8 8 10 23 67 NA NA
"P.31.4" 3 4 6 9 10 23 23 NA NA
"P.31.5" 5 5 6 8 8 9 43 NA NA
"P.31.6" 4 5 7 8 9 16 30 NA NA
"P.31.7" 6 6 7 8 9 35 63 NA NA
"P.31.8" 5 7 8 8 10 58 103 NA NA
"P.31.9" 3 4 6 8 10 44 44 NA NA
"P.31.10" 3 4 6 10 13 36 93 NA NA
"P.32.1" 4 5 8 8 10 19 21 NA NA
"P.32.2" 5 6 7 7 10 29 30 NA NA
"P.32.3" 5 5 5 8 10 22 54 NA NA
"P.32.4" 6 6 7 7 9 37 74 NA NA
"P.32.5" 6 6 6 7 8 18 20 NA NA
"P.32.6" 7 7 7 8 10 30 70 NA NA
"P.32.7" 5 6 7 8 11 28 81 NA NA
"P.32.8" 6 7 8 9 10 42 109 NA NA
"P.32.9" 5 6 7 8 10 15 27 NA NA
"P.32.10" 5 7 8 9 11 27 44 NA NA
"P.33.1" 4 6 6 6 6 6 7 NA NA
"P.33.2" 3 5 5 6 6 6 7 NA NA
"P.33.3" 6 7 7 7 7 7 8 NA NA
"P.33.4" 3 5 7 7 7 8 8 NA NA
"P.33.5" 4 5 7 8 9 9 9 NA NA
"P.33.6" 6 7 7 8 8 9 9 NA NA
