"第1周" "第2周" "第3周" "第4周" "第5周" "第6周" "第7周" "第8周" "第9周"
"P.68.5" 4 6 6 7 33 53 55 NA NA
"P.68.6" 7 8 11 12 15 39 55 NA NA
"P.68.7" 4 5 6 6 6 7 7 NA NA
"P.68.8" 6 7 7 8 8 8 8 NA NA
"P.68.9" 7 7 7 8 9 10 11 NA NA
"P.68.10" 5 7 7 8 9 9 9 NA NA
"P.69.1" 4 7 7 8 9 9 14 18 19
"P.69.2" 5 6 7 8 9 10 15 30 34
"P.69.3" 6 6 7 7 7 8 14 14 15
"P.69.4" 4 5 7 8 8 9 10 10 10
"P.69.5" 8 9 9 9 9 11 24 30 31
"P.69.6" 7 7 8 9 11 12 60 93 95
"P.69.7" 6 6 7 8 9 10 26 58 60
"P.69.8" 6 7 8 8 8 9 9 9 9
"P.69.9" 6 6 6 7 8 8 8 8 8
"P.69.10" 7 8 8 9 9 9 9 9 9
"P.70.1" 5 6 6 6 6 10 14 16 16
"P.70.2" 5 6 6 6 6 9 13 16 16
"P.70.3" 4 5 6 7 8 9 14 18 18
"P.70.4" 5 5 5 8 9 15 29 40 40
"P.70.5" 4 7 7 10 12 18 33 50 50
"P.70.6" 6 6 7 8 8 8 8 8 8
"P.70.7" 3 4 4 4 6 7 7 7 7
"P.70.8" 4 4 5 6 6 7 7 7 7
"P.70.9" 5 6 8 8 8 8 8 8 8
"P.70.10" 7 7 8 9 9 9 9 9 9
"P.71.1" 5 7 7 7 7 8 8 NA NA
"P.71.2" 4 5 6 6 6 7 7 NA NA
"P.71.3" 5 6 6 6 7 7 7 NA NA
"P.71.4" 6 6 6 7 7 7 7 NA NA
"P.71.5" 4 5 5 5 6 6 6 NA NA
"P.71.6" 5 6 6 6 6 6 6 NA NA
"P.71.7" 5 6 6 6 7 7 7 NA NA
"P.71.8" 5 5 5 7 7 7 7 NA NA
"P.71.9" 4 5 5 5 5 5 5 NA NA
"P.71.10" 7 8 9 9 9 9 9 NA NA
"P.72.1" 7 8 8 9 10 10 73 NA NA
"P.72.2" 7 9 9 9 9 10 11 NA NA
"P.72.3" 4 5 6 7 8 8 8 NA NA
"P.72.4" 6 7 7 8 9 8 8 NA NA
"P.72.5" 6 7 7 8 8 8 8 NA NA
"P.72.6" 5 6 6 6 6 6 6 NA NA
"P.72.7" 5 6 6 6 7 7 7 NA NA
"P.72.8" 5 5 5 7 7 7 7 NA NA
"P.72.9" 4 5 5 5 5 5 5 NA NA
"P.72.10" 7 8 9 9 9 9 9 NA NA
"P.73.1" 6 7 8 9 10 10 10 NA NA
"P.73.2" 5 7 7 7 7 8 8 NA NA
"P.73.3" 5 7 8 8 8 9 9 NA NA
"P.73.4" 6 8 9 9 10 11 11 NA NA
"P.73.5" 5 7 8 9 9 10 10 NA NA
"P.73.6" 6 7 7 8 9 8 8 NA NA
"P.73.7" 7 8 9 9 10 10 10 NA NA
"P.73.8" 5 7 8 8 9 9 9 NA NA
"P.73.9" 6 8 8 9 10 11 11 NA NA
"P.73.10" 5 6 8 9 10 10 10 NA NA
"P.74.1" 4 7 7 7 7 8 8 NA NA
"P.74.2" 6 7 7 9 9 10 12 NA NA
"P.74.3" 6 7 8 9 9 9 9 NA NA
"P.74.4" 6 7 8 9 12 10 10 NA NA
"P.74.5" 5 6 7 8 9 9 9 NA NA
"P.74.6" 6 7 7 8 8 8 8 NA NA
"P.74.7" 9 10 10 11 12 12 12 NA NA
"P.74.8" 7 8 8 10 11 12 12 NA NA
"P.74.9" 7 8 8 8 8 9 9 NA NA
"P.74.10" 5 7 8 8 8 10 10 NA NA
"P.75.1" 4 6 8 8 24 64 80 87 89
"P.75.2" 5 7 9 10 11 12 22 26 85
"P.75.3" 5 8 9 10 57 124 164 180 187
"P.75.4" 4 5 6 8 44 100 148 160 163
"P.75.5" 4 6 7 7 40 88 122 140 146
"P.75.6" 6 6 8 8 24 56 79 90 94
"P.75.7" 6 7 8 9 40 95 147 155 156
"P.75.8" 6 7 8 8 50 111 157 171 171
"P.75.9" 7 8 8 9 27 66 81 90 94
"P.75.10" 7 8 8 9 33 75 99 110 110
"P.76.1" 3 6 7 8 9 9 9 9 9
"P.76.2" 6 7 7 8 8 8 8 8 8
"P.76.3" 6 6 7 8 9 24 103 134 134
"P.76.4" 4 7 8 9 10 10 10 10 10
"P.76.5" 4 7 7 9 11 20 78 90 94
"P.76.6" 6 6 7 8 9 12 39 48 48
"P.76.7" 7 8 9 11 13 25 109 130 130
"P.76.8" 7 8 8 9 10 28 100 134 134
"P.76.9" 7 8 10 12 13 20 99 127 127
"P.76.10" 7 8 10 11 12 25 102 133 133
"P.79.1" 5 6 7 7 8 39 65 70 70
"P.79.2" 5 6 7 7 8 14 26 26 27
"P.79.3" 4 6 7 7 8 25 27 67 67
"P.79.4" 3 5 5 7 8 10 32 35 35
"P.79.5" 4 6 8 8 9 14 46 49 49
"P.79.6" 4 5 5 5 7 25 38 49 49
"P.79.7" 5 5 6 7 8 8 8 8 8
"P.79.8" 5 5 5 5 7 33 51 55 55
"P.79.9" 4 4 6 6 7 25 90 94 94
"P.79.10" 5 6 7 8 18 34 71 94 94
"P.80.1" 4 5 5 7 8 11 26 70 72
"P.80.2" 6 6 6 8 10 12 18 30 32
"P.80.3" 4 5 6 6 7 7 14 20 20
"P.80.4" 4 5 5 5 6 7 18 24 24
"P.80.5" 4 5 6 7 7 7 7 7 7
"P.80.6" 5 5 7 7 7 8 18 20 20
"P.80.7" 6 7 7 7 7 9 15 30 32
"P.80.8" 4 4 5 6 7 8 16 33 36
"P.80.9" 5 6 7 7 7 8 9 10 10
"P.80.10" 6 7 7 9 9 9 19 41 41
"P.81.1" 7 9 10 11 13 31 118 125 NA
"P.81.2" 6 7 9 9 20 20 20 20 NA
"P.81.3" 6 6 7 8 20 20 20 20 NA
"P.81.4" 6 6 6 7 7 8 8 8 NA
"P.81.5" 5 6 7 8 9 9 9 14 NA
"P.81.6" 6 7 7 8 11 11 19 19 NA
"P.81.7" 7 7 8 8 12 13 71 122 NA
"P.81.8" 6 6 7 8 9 9 9 9 NA
"P.81.9" 7 8 8 9 10 11 36 55 NA
"P.81.10" 8 8 9 11 13 17 76 81 NA
"P.82.1" 8 9 9 10 11 20 109 112 NA
"P.82.2" 7 8 9 9 10 19 107 154 NA
"P.82.3" 9 10 11 12 18 40 237 282 NA
"P.82.4" 7 7 7 7 9 21 100 118 NA
"P.82.5" 8 8 8 8 11 19 88 100 NA
"P.82.6" 7 7 8 9 11 32 201 249 NA
"P.82.7" 6 6 7 8 12 16 68 173 NA
"P.82.8" 6 7 8 8 11 26 125 130 NA
"P.82.9" 7 7 8 8 10 49 186 268 NA
"P.82.10" 8 9 9 10 11 38 109 130 NA
"P.83.1" 9 11 13 15 17 17 101 184 NA
"P.83.2" 8 8 10 11 13 13 36 42 NA
"P.83.3" 8 9 9 10 12 12 78 155 NA
"P.83.4" 7 8 9 9 10 10 86 169 NA
"P.83.5" 7 8 8 9 10 9 43 75 NA
"P.83.6" 9 9 10 11 12 23 76 121 NA
"P.83.7" 8 9 9 13 13 26 145 213 NA
"P.83.8" 7 8 8 8 9 20 44 169 NA
"P.83.9" 10 11 12 13 15 15 164 176 NA
"P.83.10" 8 9 10 11 13 14 90 177 NA
"P.84.1" 7 9 9 10 12 22 33 33 NA
"P.84.2" 6 7 8 9 10 17 17 17 NA
"P.84.3" 6 8 9 20 45 83 97 97 NA
"P.84.4" 7 7 8 16 46 54 54 54 NA
"P.84.5" 8 10 10 43 69 79 81 85 NA
"P.84.6" 7 7 8 9 31 56 67 67 NA
"P.84.7" 7 8 8 9 24 36 76 76 NA
"P.84.8" 7 7 7 12 47 75 104 104 NA
"P.84.9" 7 7 8 8 23 36 59 59 NA
"P.84.10" 7 8 10 22 56 83 88 88 NA
"P.85.1" 6 7 8 8 8 8 9 9 NA
"P.85.2" 7 7 8 8 9 9 56 63 NA
"P.85.3" 7 8 9 9 11 13 47 58 NA
"P.85.4" 7 8 9 11 13 24 72 98 NA
"P.85.5" 7 8 9 11 14 28 79 100 NA
"P.85.6" 6 6 7 8 9 10 18 26 NA
"P.85.7" 8 8 8 9 10 27 60 112 NA
"P.85.8" 6 6 6 7 8 22 65 77 NA
"P.85.9" 7 7 7 8 9 10 45 77 NA
"P.85.10" 5 6 7 8 10 32 95 103 NA
"P.86.1" 6 7 8 8 10 10 12 12 NA
"P.86.2" 6 7 9 10 10 11 11 11 NA
"P.86.3" 7 7 8 9 12 12 12 12 NA
"P.86.4" 6 8 8 9 9 9 10 10 NA
"P.86.5" 6 6 7 8 9 10 10 10 NA
"P.86.6" 6 6 8 8 8 12 12 12 NA
"P.86.7" 6 7 8 8 11 13 13 13 NA
"P.86.8" 5 5 7 8 10 12 32 97 NA
"P.86.9" 4 6 8 9 10 11 11 11 NA
"P.86.10" 5 6 6 7 7 7 8 8 NA
"P.87.1" 7 8 9 11 12 15 15 15 NA
"P.87.2" 6 7 7 9 10 11 11 11 NA
"P.87.3" 7 8 8 10 11 12 12 12 NA
"P.87.4" 5 6 7 8 9 9 9 9 NA
"P.87.5" 5 6 7 8 9 10 10 10 NA
"P.87.6" 7 7 7 9 12 12 12 12 NA
"P.87.7" 4 5 5 9 10 12 12 12 NA
"P.87.8" 5 5 6 7 8 9 10 10 NA
"P.87.9" 6 6 7 8 9 10 11 11 NA
"P.87.10" 6 7 8 9 9 9 10 10 NA
"P.88.1" 4 5 5 7 10 29 68 67 NA
"P.88.2" 6 8 8 9 36 67 76 83 NA
"P.88.3" 6 7 8 9 12 37 46 47 NA
"P.88.4" 7 8 8 9 35 58 62 66 NA
"P.88.5" 4 5 6 7 8 9 14 55 NA
"P.88.6" 5 5 6 6 8 17 23 23 NA
"P.88.7" 6 6 7 8 20 29 29 NA NA
"P.88.8" 5 6 7 9 12 18 36 NA NA
"P.88.9" 5 6 7 9 15 19 19 NA NA
"P.88.10" 7 7 7 9 36 72 78 80 NA
"P.89.1" 9 9 10 11 47 91 169 NA NA
"P.89.2" 9 9 10 11 14 30 58 84 NA
"P.89.3" 9 11 12 36 83 89 96 96 NA
"P.89.4" 8 10 11 11 11 12 16 16 NA
"P.89.5" 8 9 10 11 33 54 67 73 NA
"P.89.6" 8 8 10 11 16 61 91 93 NA
"P.89.7" 10 11 12 41 87 142 185 192 NA
"P.89.8" 8 8 9 11 24 44 122 160 NA
"P.89.9" 8 8 10 26 64 92 165 184 NA
"P.89.10" 7 8 9 10 13 29 61 119 NA
"P.90.1" 4 5 6 6 8 9 9 9 NA
"P.90.2" 4 5 5 6 6 6 6 6 NA
"P.90.3" 5 6 7 10 12 13 13 13 NA
"P.90.4" 6 6 6 8 11 11 11 11 NA
"P.90.5" 4 6 6 7 9 10 10 10 NA
"P.90.6" 4 5 6 7 8 8 9 9 NA
"P.90.7" 4 5 5 5 5 5 6 6 NA
"P.90.8" 4 5 6 6 7 7 7 7 NA
"P.90.9" 5 5 5 6 7 24 58 58 NA
"P.90.10" 5 6 7 7 9 10 10 10 NA
"P.93.1" 6 7 8 8 9 21 74 128 NA
"P.93.2" 5 7 7 8 8 9 33 38 NA
"P.93.3" 5 6 6 8 9 16 20 21 NA
"P.93.4" 6 7 7 8 12 13 15 17 NA
"P.93.5" 5 7 7 7 7 13 46 53 NA
"P.93.6" 6 7 7 7 12 21 36 37 NA
"P.93.7" 5 6 7 7 7 13 15 41 NA
"P.93.8" 4 5 5 7 7 10 44 47 NA
"P.93.9" 5 8 8 8 9 10 30 31 NA
"P.93.10" 5 5 7 8 12 24 76 82 NA
"P.94.1" 4 5 6 8 9 9 10 10 NA
"P.94.2" 4 7 8 8 11 12 48 64 NA
"P.94.3" 5 8 8 9 10 11 20 37 NA
"P.94.4" 6 7 8 9 11 12 13 13 NA
"P.94.5" 5 6 6 7 8 9 10 10 NA
"P.94.6" 5 6 6 8 8 8 9 9 NA
"P.94.7" 7 8 9 11 12 12 15 15 NA
"P.94.8" 5 7 7 8 9 9 10 10 NA
"P.94.9" 5 6 7 7 8 9 12 12 NA
"P.94.10" 5 5 6 7 7 7 8 8 NA
"P.95.1" 8 9 9 10 11 12 13 15 NA
"P.95.2" 6 7 7 8 11 11 108 111 NA
"P.95.3" 7 8 10 11 12 12 126 136 NA
"P.95.4" 6 6 7 7 8 9 77 83 NA
"P.95.5" 7 7 8 8 10 17 76 105 NA
"P.95.6" 6 7 7 8 9 9 21 161 NA
"P.95.7" 7 7 7 8 9 9 10 73 NA
"P.95.8" 7 7 8 8 9 9 10 51 NA
"P.95.9" 8 9 10 10 11 15 140 189 NA
"P.95.10" 8 8 9 10 10 10 66 136 NA
"P.96.1" 4 6 6 7 8 11 36 39 NA
"P.96.2" 4 5 5 6 7 16 31 38 NA
"P.96.3" 5 6 6 6 7 8 12 31 NA
"P.96.4" 5 6 6 6 7 7 7 7 NA
"P.96.5" 5 5 5 6 8 8 9 NA NA
"P.96.6" 4 5 5 6 6 6 29 104 NA
"P.96.7" 5 5 5 6 7 7 8 NA NA
"P.96.8" 4 5 6 6 6 13 28 36 NA
"P.96.9" 5 5 5 6 7 8 17 NA NA
"P.96.10" 6 6 6 7 8 9 15 NA NA
"P.97.1" 7 9 10 12 18 73 231 235 NA
"P.97.2" 6 7 7 9 10 43 182 194 NA
"P.97.3" 8 9 12 12 28 89 243 271 NA
"P.97.4" 5 5 6 6 6 6 6 6 NA
"P.97.5" 7 8 9 10 12 12 174 183 NA
"P.97.6" 7 8 8 8 9 52 140 155 NA
"P.97.7" 7 8 8 8 9 20 20 20 NA
"P.97.8" 8 9 10 12 25 87 202 236 NA
"P.97.9" 7 8 8 9 9 10 17 44 NA
"P.97.10" 8 9 10 12 13 46 177 232 NA
"P.98.1" 4 5 5 5 6 7 10 14 NA
"P.98.2" 6 8 10 11 12 22 196 200 NA
"P.98.3" 4 5 7 7 8 16 21 22 NA
"P.98.4" 5 5 7 8 8 9 9 9 NA
"P.98.5" 5 5 5 7 8 8 8 8 NA
"P.98.6" 3 3 4 4 4 4 4 4 NA
"P.98.7" 4 5 6 6 7 8 9 9 NA
"P.98.8" 4 5 6 6 14 18 18 18 NA
"P.98.9" 4 5 5 6 8 16 30 32 NA
"P.98.10" 5 6 7 9 11 11 16 20 NA
"P.99.1" 7 8 8 10 10 27 34 34 NA
"P.99.2" 7 9 9 10 10 25 36 36 NA
"P.99.3" 6 7 8 8 12 13 13 13 NA
"P.99.4" 4 5 6 6 10 25 25 25 NA
"P.99.5" 5 6 7 8 28 31 40 40 NA
"P.99.6" 6 7 8 9 13 19 29 29 NA
"P.99.7" 7 8 9 11 22 29 33 33 NA
"P.99.8" 6 8 8 9 18 24 24 24 NA
"P.99.9" 5 6 7 8 10 12 20 20 NA
"P.99.10" 5 7 8 9 17 34 58 59 NA
"P.100.1" 7 7 8 8 17 29 64 68 NA
"P.100.2" 7 7 8 8 10 14 56 56 NA
"P.100.3" 5 7 8 8 14 14 14 14 NA
"P.100.4" 6 8 8 9 10 13 27 55 NA
"P.100.5" 6 6 7 9 12 14 26 26 NA
"P.100.6" 6 7 8 9 11 11 12 14 NA
"P.100.7" 6 9 9 10 12 12 60 65 NA
"P.100.8" 7 9 9 10 10 35 81 81 NA
"P.100.9" 6 8 8 8 8 14 78 86 NA
"P.100.10" 7 8 8 8 10 10 59 59 NA
"P.101.1" 6 6 7 8 8 9 9 NA NA
"P.101.2" 6 8 9 12 12 12 65 NA NA
"P.101.3" 5 7 7 8 8 8 8 NA NA
"P.101.4" 4 7 8 9 9 10 10 NA NA
"P.101.5" 6 7 8 9 9 10 10 NA NA
"P.101.6" 4 7 7 7 7 8 8 NA NA
"P.101.7" 5 7 8 8 8 9 9 NA NA
"P.101.8" 5 6 7 7 7 8 9 NA NA
"P.101.9" 3 5 7 7 7 8 8 NA NA
"P.101.10" 3 4 6 7 7 8 8 NA NA
"P.102.1" 4 6 6 13 47 102 112 NA NA
"P.102.2" 6 7 8 8 10 23 30 NA NA
"P.102.3" 6 7 8 9 12 41 55 NA NA
"P.102.4" 2 4 6 6 9 29 32 NA NA
"P.102.5" 5 6 9 30 78 141 151 NA NA
"P.102.6" 4 7 7 13 37 110 123 NA NA
"P.102.7" 4 6 10 15 54 116 120 NA NA
"P.102.8" 7 7 8 13 44 111 128 NA NA
"P.102.9" 7 7 9 9 27 34 48 NA NA
"P.102.10" 7 8 8 9 10 40 49 NA NA
"P.103.1" 5 6 7 8 9 10 10 NA NA
"P.103.2" 6 7 9 9 16 37 37 NA NA
"P.103.3" 3 4 7 7 7 7 7 NA NA
"P.103.4" 4 7 9 10 11 12 12 NA NA
"P.103.5" 4 6 7 9 10 13 13 NA NA
"P.103.6" 5 6 8 8 9 11 11 NA NA
"P.103.7" 6 6 7 7 8 8 8 NA NA
"P.103.8" 5 6 7 7 8 8 8 NA NA
"P.103.9" 6 7 9 10 10 10 10 NA NA
"P.103.10" 7 7 8 8 8 9 9 NA NA
"P.104.1" 6 7 9 9 16 49 83 NA NA
"P.104.2" 3 5 7 8 12 38 40 NA NA
"P.104.3" 2 4 7 7 8 8 8 NA NA
"P.104.4" 4 6 7 8 14 30 40 NA NA
"P.104.5" 3 6 7 9 13 37 40 NA NA
"P.104.6" 4 6 8 9 22 91 100 NA NA
"P.104.7" 7 8 9 10 12 20 37 NA NA
"P.104.8" 8 8 9 9 14 30 37 NA NA
"P.104.9" 5 5 6 7 13 30 53 NA NA
"P.104.10" 6 6 7 8 9 10 18 NA NA
"P.105.1" 5 6 8 8 8 9 9 NA NA
"P.105.2" 6 7 8 10 11 12 13 NA NA
"P.105.3" 4 5 7 7 8 8 8 NA NA
"P.105.4" 6 6 7 11 12 13 3 NA NA
"P.105.5" 7 7 7 9 9 9 9 NA NA
"P.105.6" 6 7 8 8 9 10 10 NA NA
"P.105.7" 6 6 8 9 9 9 9 NA NA
"P.105.8" 7 7 7 8 8 8 8 NA NA
"P.105.9" 6 7 8 9 9 9 9 NA NA
"P.105.10" 6 7 7 8 8 9 9 NA NA
"P.106.1" 5 5 7 7 7 7 7 NA NA
"P.106.2" 4 5 7 7 7 7 7 NA NA
"P.106.3" 5 6 8 10 11 11 11 NA NA
"P.106.4" 4 6 8 8 9 9 9 NA NA
"P.106.5" 6 6 9 10 11 11 11 NA NA
"P.106.6" 3 5 7 9 10 10 12 NA NA
"P.106.7" 5 6 7 7 7 8 8 NA NA
"P.106.8" 4 6 8 9 10 10 10 NA NA
"P.106.9" 6 7 8 8 8 8 8 NA NA
"P.106.10" 7 8 11 13 14 14 14 NA NA
"P.107.1" 8 9 11 14 14 14 14 NA NA
"P.107.2" 5 7 8 8 8 8 8 NA NA
"P.107.3" 5 6 8 10 10 10 10 NA NA
"P.107.4" 4 6 7 9 9 15 18 NA NA
"P.107.5" 5 6 8 9 9 9 9 NA NA
"P.107.6" 5 6 7 9 9 10 10 NA NA
"P.107.7" 6 7 7 7 8 9 9 NA NA
"P.107.8" 4 6 8 8 8 8 8 NA NA
"P.107.9" 6 7 8 9 10 10 10 NA NA
"P.107.10" 5 6 8 8 9 11 11 NA NA
"P.108.1" 6 7 8 8 12 26 95 NA NA
"P.108.2" 4 5 6 6 14 33 41 NA NA
"P.108.3" 4 6 8 8 17 35 40 NA NA
"P.108.4" 5 7 7 8 13 27 80 NA NA
"P.108.5" 5 7 8 9 12 25 72 NA NA
"P.108.6" 6 7 7 8 9 16 20 NA NA
"P.108.7" 5 7 8 8 10 22 29 NA NA
"P.108.8" 6 7 8 8 11 21 76 NA NA
"P.108.9" 8 8 8 9 10 11 15 NA NA
"P.108.10" 6 6 9 9 15 35 120 NA NA
"P.109.1" 4 6 8 9 39 89 92 NA NA
"P.109.2" 4 5 8 12 43 108 121 NA NA
"P.109.3" 3 5 7 19 33 75 94 NA NA
"P.109.4" 5 5 6 10 25 66 72 NA NA
"P.109.5" 4 5 7 7 12 34 59 NA NA
"P.109.6" 5 6 7 23 49 65 71 NA NA
"P.109.7" 3 5 7 28 45 57 63 NA NA
"P.109.8" 3 4 7 30 66 144 157 NA NA
"P.109.9" 5 5 7 21 34 40 45 NA NA
"P.109.10" 3 5 6 9 21 42 43 NA NA
"P.110.1" 5 7 9 9 14 22 63 NA NA
"P.110.2" 4 5 6 6 16 28 46 NA NA
"P.110.3" 7 8 9 12 57 72 84 NA NA
"P.110.4" 5 7 9 17 88 124 138 NA NA
"P.110.5" 5 6 8 9 67 83 92 NA NA
"P.110.6" 5 6 7 20 77 115 134 NA NA
"P.110.7" 5 7 10 27 89 170 188 NA NA
"P.110.8" 6 7 9 10 14 43 58 NA NA
"P.110.9" 5 7 9 11 54 74 136 NA NA
"P.110.10" 5 6 8 10 71 119 192 NA NA
"P.111.1" 5 7 7 7 7 7 7 NA NA
"P.111.2" 7 8 8 8 8 8 8 NA NA
"P.111.3" 4 6 7 8 9 9 9 NA NA
"P.111.4" 6 6 8 9 10 10 10 NA NA
"P.111.5" 6 6 9 9 10 10 10 NA NA
"P.111.6" 7 7 8 9 10 10 10 NA NA
"P.111.7" 3 4 7 7 9 10 10 NA NA
"P.111.8" 5 6 7 8 9 10 10 NA NA
"P.111.9" 3 5 7 7 9 10 10 NA NA
"P.111.10" 7 7 10 10 11 11 11 NA NA
"P.112.1" 3 5 6 6 7 7 12 NA NA
"P.112.2" 5 5 7 7 8 8 8 NA NA
"P.112.3" 4 5 6 7 8 8 16 NA NA
"P.112.4" 5 5 6 6 7 8 8 NA NA
"P.112.5" 4 4 6 6 8 27 40 NA NA
"P.112.6" 5 5 7 7 8 8 8 NA NA
"P.112.7" 5 7 8 8 8 8 22 NA NA
"P.112.8" 7 8 9 9 9 9 15 NA NA
"P.112.9" 5 8 9 9 10 10 30 NA NA
"P.112.10" 6 7 8 9 10 10 10 NA NA
"P.115.1" 3 6 8 14 26 68 71 NA NA
"P.115.2" 3 5 8 9 17 37 93 NA NA
"P.115.3" 4 6 8 8 10 16 37 NA NA
"P.115.4" 4 5 7 8 10 19 55 NA NA
"P.115.5" 3 4 5 16 42 88 101 NA NA
"P.115.6" 3 5 6 13 21 38 80 NA NA
"P.115.7" 6 8 10 13 42 54 56 NA NA
"P.115.8" 3 4 8 10 45 78 82 NA NA
"P.115.9" 6 7 8 11 14 25 26 NA NA
"P.115.10" 4 7 9 10 16 23 26 NA NA
"P.116.1" 6 7 10 12 20 33 57 NA NA
"P.116.2" 6 6 10 13 13 13 14 NA NA
"P.116.3" 7 8 9 11 37 52 62 NA NA
"P.116.4" 5 6 7 8 10 21 26 NA NA
"P.116.5" 6 7 9 9 9 10 10 NA NA
"P.116.6" 5 6 7 8 19 25 26 NA NA
"P.116.7" 4 6 7 8 19 55 83 NA NA
"P.116.8" 7 8 9 9 9 12 16 NA NA
"P.116.9" 7 8 9 10 10 10 10 NA NA
"P.116.10" 6 8 9 9 9 9 9 NA NA
